"VK-Auftrag";"VK";"VK-Position";"KundeName";"SpeditionsGruppe_ID_Nr";"SpeditionsGruppeBemerkung";"Warenempfänger"
"100076791";"100076791-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100076791";"100076791-20";20;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100077301";"100077301-10";10;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100077374";"100077374-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100077374";"100077374-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100077374";"100077374-12";12;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100077378";"100077378-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100077568";"100077568-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100077568";"100077568-11";11;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100077593";"100077593-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100077951";"100077951-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100077957";"100077957-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100078286";"100078286-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100078287";"100078287-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100078341";"100078341-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078341";"100078341-11";11;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-12";12;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-21";21;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078347";"100078347-22";22;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100078386";"100078386-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100078386";"100078386-20";20;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100078386";"100078386-30";30;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100078386";"100078386-40";40;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100078407";"100078407-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100078464";"100078464-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100078631";"100078631-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100078646";"100078646-10";10;"Sanitas Troesch AG, Olten";1;"Sanitas Troesch AG";"H00000026"
"100078652";"100078652-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078652";"100078652-11";11;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078652";"100078652-12";12;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078652";"100078652-20";20;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100078878";"100078878-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"I00000418"
"100079038";"100079038-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100079126";"100079126-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100079229";"100079229-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100079229";"100079229-11";11;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100079229";"100079229-12";12;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100079256";"100079256-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100079256";"100079256-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100079257";"100079257-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079362";"100079362-10";10;"Sanitas Troesch AG, Develier";1;"Sanitas Troesch AG";"H00000026"
"100079362";"100079362-11";11;"Sanitas Troesch AG, Develier";1;"Sanitas Troesch AG";"H00000026"
"100079362";"100079362-20";20;"Sanitas Troesch AG, Develier";1;"Sanitas Troesch AG";"H00000026"
"100079393";"100079393-10";10;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100079395";"100079395-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079470";"100079470-10";10;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100079471";"100079471-10";10;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100079506";"100079506-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100079506";"100079506-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100079515";"100079515-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100079568";"100079568-10";10;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100079568";"100079568-20";20;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100079576";"100079576-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000026"
"100079633";"100079633-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079633";"100079633-11";11;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079633";"100079633-12";12;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079651";"100079651-10";10;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100079651";"100079651-11";11;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100079651";"100079651-12";12;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100079711";"100079711-10";10;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100079711";"100079711-11";11;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100079825";"100079825-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100079826";"100079826-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100079883";"100079883-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100079946";"100079946-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100079946";"100079946-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100079946";"100079946-12";12;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080029";"100080029-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080029";"100080029-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080029";"100080029-12";12;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080029";"100080029-13";13;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080042";"100080042-10";10;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100080042";"100080042-20";20;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100080042";"100080042-21";21;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100080051";"100080051-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080051";"100080051-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080051";"100080051-12";12;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080051";"100080051-13";13;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080054";"100080054-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080055";"100080055-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080055";"100080055-11";11;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080055";"100080055-20";20;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080058";"100080058-10";10;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100080058";"100080058-11";11;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100080058";"100080058-12";12;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100080058";"100080058-13";13;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100080059";"100080059-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080059";"100080059-11";11;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080059";"100080059-20";20;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080066";"100080066-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080066";"100080066-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080068";"100080068-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080072";"100080072-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080072";"100080072-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080073";"100080073-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080073";"100080073-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080074";"100080074-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080074";"100080074-11";11;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080074";"100080074-12";12;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080074";"100080074-13";13;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080075";"100080075-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080076";"100080076-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080078";"100080078-10";10;"Sanitas Troesch AG, Contone";1;"Sanitas Troesch AG";"H00000038"
"100080085";"100080085-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100080093";"100080093-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080097";"100080097-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080097";"100080097-11";11;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080102";"100080102-10";10;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080102";"100080102-11";11;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080103";"100080103-10";10;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080103";"100080103-11";11;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080106";"100080106-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00001821"
"100080106";"100080106-11";11;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00001821"
"100080106";"100080106-12";12;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00001821"
"100080107";"100080107-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080107";"100080107-11";11;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080107";"100080107-12";12;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080113";"100080113-10";10;"Sanitas Troesch AG, Dättwil";1;"Sanitas Troesch AG";"H00000022"
"100080114";"100080114-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080114";"100080114-11";11;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080115";"100080115-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080162";"100080162-10";10;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080162";"100080162-11";11;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080162";"100080162-12";12;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080162";"100080162-13";13;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080162";"100080162-20";20;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080163";"100080163-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080163";"100080163-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080163";"100080163-12";12;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080163";"100080163-13";13;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080164";"100080164-20";20;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080164";"100080164-30";30;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080164";"100080164-31";31;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080164";"100080164-41";41;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080164";"100080164-52";52;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080165";"100080165-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080165";"100080165-11";11;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080165";"100080165-12";12;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080167";"100080167-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100080174";"100080174-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080174";"100080174-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080174";"100080174-20";20;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080174";"100080174-21";21;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080174";"100080174-22";22;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080206";"100080206-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080208";"100080208-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080208";"100080208-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080208";"100080208-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080208";"100080208-21";21;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080208";"100080208-30";30;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080209";"100080209-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080210";"100080210-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080210";"100080210-11";11;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080222";"100080222-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080222";"100080222-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080222";"100080222-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080222";"100080222-21";21;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080228";"100080228-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080228";"100080228-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080229";"100080229-10";10;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080229";"100080229-12";12;"Sanitas Troesch AG, Chur";1;"Sanitas Troesch AG";"H00000023"
"100080231";"100080231-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080232";"100080232-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080233";"100080233-10";10;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080233";"100080233-11";11;"Sanitas Troesch AG, Jona";1;"Sanitas Troesch AG";"H00000022"
"100080254";"100080254-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080255";"100080255-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080255";"100080255-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080335";"100080335-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080335";"100080335-20";20;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080337";"100080337-10";10;"Sanitas Troesch AG, Winterthur";1;"Sanitas Troesch AG";"H00000022"
"100080365";"100080365-10";10;"Sanitas Troesch AG, Toffen";1;"Sanitas Troesch AG";"H00000026"
"100080366";"100080366-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100080366";"100080366-11";11;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100080375";"100080375-10";10;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080375";"100080375-20";20;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080389";"100080389-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080390";"100080390-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080397";"100080397-10";10;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080399";"100080399-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080402";"100080402-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
"100080403";"100080403-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080404";"100080404-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080404";"100080404-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080404";"100080404-12";12;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080408";"100080408-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080408";"100080408-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-21";21;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-22";22;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-30";30;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-40";40;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-50";50;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-60";60;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-70";70;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-80";80;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-90";90;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-100";100;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-110";110;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-120";120;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-130";130;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080421";"100080421-140";140;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080423";"100080423-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080423";"100080423-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080423";"100080423-12";12;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080423";"100080423-13";13;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080425";"100080425-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080425";"100080425-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080426";"100080426-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080426";"100080426-11";11;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080426";"100080426-20";20;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080426";"100080426-30";30;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080434";"100080434-10";10;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080434";"100080434-11";11;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080434";"100080434-20";20;"Sanitas Troesch AG, Basel";1;"Sanitas Troesch AG";"H00000026"
"100080435";"100080435-10";10;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100080435";"100080435-20";20;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100080435";"100080435-30";30;"Sanitas Troesch AG, Biel";1;"Sanitas Troesch AG";"H00000026"
"100080442";"100080442-10";10;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080442";"100080442-20";20;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080442";"100080442-21";21;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080442";"100080442-30";30;"Sanitas Troesch AG, Thun";1;"Sanitas Troesch AG";"H00000026"
"100080524";"100080524-10";10;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080524";"100080524-11";11;"Sanitas Troesch AG, St. Gallen";1;"Sanitas Troesch AG";"H00000023"
"100080526";"100080526-10";10;"Sanitas Troesch AG, Kriens";1;"Sanitas Troesch AG";"H00000022"
"100080528";"100080528-10";10;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080528";"100080528-20";20;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080528";"100080528-30";30;"Sanitas Troesch AG, Köniz";1;"Sanitas Troesch AG";"H00000026"
"100080531";"100080531-10";10;"Sanitas Troesch AG, Zürich";1;"Sanitas Troesch AG";"H00000022"
"100080532";"100080532-10";10;"Sanitas Troesch AG, Crissier";1;"Sanitas Troesch AG";"H00000037"
