"Lieferadresse_ID_Nr";"Lieferadresse_Name";"Lieferadresse_Strasse";"Lieferadresse_Hausnummer";"Lieferadresse_Land";"Lieferadresse_PLZ";"Lieferadresse_Ort";"Lieferadresse_Telefon";"Lieferadresse_Telefax"
"000000028";"Flügge-Munstermann";"Walmsburg Strasse";"13";"DE";"21354";"Barskamp";"";""
"000000029";"Flügge-Munstermann";"Walmsburger Strasse";"13";"DE";"21354";"Bleckede";"";""
"000000030";"Richter+Frenzel GmbH & Co.KG";"SE-Center Hagenauerstr.";"17-19";"DE";"65203";"Wiesbaden";"";""
"000000032";"Richter + Frenzel Gräfelfing";"Seeholzenstrasse";"5";"DE";"82166";"Gräfelfing";"";""
"000000033";"Hofmeister und Kuster";"Stegackerstrasse";"4";"CH";"8409";"Winterthur";"";""
"000000034";"Fust Schreinerei";"Hubstrasse";"101";"CH";"9500";"Wil";"71 914 90 00";""
"000000035";"Zimmermann";"Seeblick";"9";"CH";"9422";"Staad";"";""
"H00000001";"Galvolux SA";"Via Strecce 1";"";"CH";"6934";"Bioggio";"91 610 55 11";"91 610 55 22"
"H00000002";"Sanitas Troesch";"";"";"CH";"";"";"";""
"H00000003";"Regent Beleuchtungskörper AG";"Dornacherstrasse";"390";"CH";"4018";"Basel";"61 335 51 11";"61 335 55 92"
"H00000004";"Eugen Koch AG";"Bionstrasse";"7";"CH";"9015";"St. Gallen";"71 313 23 23";"71 313 23 13"
"H00000005";"OPO Oeschger AG";"Steinackerstrasse";"68";"CH";"8302";"Kloten";"44 804 33 11";"44 804 33 77"
"H00000006";"Stark AG";"Industriestrasse";"1";"CH";"9450";"Altstätten";"71 757 51 20";"71 757 51 00"
"H00000007";"Glaeser Baden AG";"Im Grund";"16";"CH";"5405";"Baden-Dättwil";"56 483 36 00";"56 483 36 97"
"H00000008";"Inderbitzin + Co.";"Hauptstrasse";"84";"CH";"6436";"Muotathal";"41 831 00 41";"41 831 00 44"
"H00000009";"Emaform AG";"Zetzwilerstrasse";"760";"CH";"5728";"Gontenschwil";"62 767 20 00";"62 767 20 01"
"H00000010";"Sarna Plastec AG";"Industriestrasse";"19";"CH";"6055";"Alpnach Dorf";"41 676 60 00";"41 676 60 19"
"H00000011";"Häfele AG";"Dammstrasse";"29";"CH";"8280";"Kreuzlingen";"71 686 82 00";"71 686 82 82"
"H00000012";"Hess & Co.";"Hirschweg";"6";"CH";"5312";"Döttingen";"56 268 75 75";"56 268 75 76"
"H00000013";"Regionales Behindertenzentrum";"Mittengrabenstrasse";"56";"CH";"3800";"Interlaken";"33 822 60 63";"33 822 60 61"
"H00000014";"Borschberg + Käser AG";"Friedgrabenstrasse";"7";"CH";"8907";"Wettswil";"44 701 81 61";"44 701 81 71"
"H00000015";"Rehau Vertriebs AG";"Aeschistrasse";"17";"CH";"3110";"Münsingen";"44 839 79 79";"44 839 79 89"
"H00000016";"Alu Menziken Industrie AG";"Hauptstrasse";"35";"CH";"5737";"Menziken";"62 765 21 29";"62 765 22 47"
"H00000017";"Guido Saner AG";"Industriestrasse";"6";"CH";"4227";"Büsserach";"61 789 97 97";"61 789 97 99"
"H00000020";"Aussenlager Karch";"";"";"CH";"";"";"";""
"H00000021";"Sanitas Troesch AG";"Hardturmstrasse";"101";"CH";"8031";"Zürich";"44 446 10 10";"44 446 11 50"
"H00000022";"Sanitas Troesch AG";"Täfernstrasse";"25";"CH";"5405";"Baden-Dättwil";"56 484 53 53";"56 484 53 10"
"H00000023";"Sanitas Troesch AG";"Simonstrasse";"5";"CH";"9016";"St. Gallen";"71 282 55 55";"71 282 55 54"
"H00000024";"Sanitas Troesch AG";"Sägesstrasse";"79";"CH";"3098";"Köniz";"31 970 22 22";"31 970 22 40"
"H00000025";"Sanitas Troesch AG";"Bahnhöheweg";"82";"CH";"3018";"Bern";"31 998 81 11";"31 991 10 65"
"H00000026";"Sanitas Troesch AG";"Gürbestrasse";"5";"CH";"3125";"Toffen";"31 818 33 33";"31 818 33 19"
"H00000027";"Sanitas Troesch AG";"Münchensteinerstrasse";"127";"CH";"4002";"Basel";"61 337 35 35";"61 321 52 40"
"H00000028";"Sanitas Troesch AG";"Dufourstrasse";"38";"CH";"2500";"Biel";"32 344 85 44";"32 344 10 03"
"H00000029";"Sanitas Troesch SA";"Route des Jeunes";"63-65";"CH";"1227";"Carouge-Genève";"";"22 394 90 28"
"H00000030";"Sanitas Troesch AG";"Industriestrasse";"27";"CH";"7000";"Chur";"81 286 73 73";"81 286 73 99"
"H00000031";"Sarisa-Sanitas Troesch SA";"Via Cantonale";"";"CH";"6594";"Contone";"91 851 97 60";"91 858 18 84"
"H00000032";"Sanitas Troesch SA";"Chemin Longemarlaz";"6";"CH";"1023";"Crissier";"21 637 43 70";"21 637 43 99"
"H00000033";"Sanitas Troesch SA";"Route de Delémont";"89";"CH";"2802";"Develier";"32 422 88 62";"32 422 54 04"
"H00000034";"Sanitas Troesch AG";"Feldlistrasse";"9";"CH";"8645";"Jona-Rapperswil";"55 225 15 55";"55 225 15 16"
"H00000035";"Sanitas Troesch AG";"Grabenhofstrasse";"2";"CH";"6010";"Kriens";"41 349 59 59";"41 349 59 49"
"H00000036";"Sarisa-Sanitas Troesch SA";"Corso Elvezia";"37";"CH";"6904";"Lugano";"91 912 28 50";"91 922 75 61"
"H00000037";"Sanitas Troesch SA";"Route de Champ-Colin";"10";"CH";"1260";"Nyon";"22 363 67 70";"22 363 67 77"
"H00000038";"Sanitas Troesch SA";"Centro Vedeggio";"2";"CH";"6814";"Lamone";"91 604 69 52";"91 605 28 24"
"H00000039";"Sanitas Troesch AG";"Aarburgerstrasse";"103";"CH";"4601";"Olten";"62 287 77 87";"62 287 77 80"
"H00000040";"Sanitas Troesch SA";"Ile Falcon";"";"CH";"3960";"Sierre";"27 452 30 80";"27 452 30 90"
"H00000041";"Sanitas Troesch AG";"C.F.L.-Lohnerstrasse";"28";"CH";"3601";"Thun";"33 334 59 59";"33 334 59 69"
"H00000042";"Sanitas Troesch AG";"Brunngasse";"6";"CH";"8400";"Winterthur";"52 269 13 69";"52 269 13 60"
"H00000043";"Keramik Laufen AG";"Langhagweg";"40";"CH";"4242";"Laufen";"61 765 71 11";"61 761 71 54"
"H00000044";"Studer Handels AG";"Im Schossacher";"12";"CH";"8600";"Dübendorf";"44 823 18 80";"44 823 18 90"
"H00000045";"Abritec AG";"Mittelstrasse";"8";"CH";"4912";"Aarwangen";"62 919 20 92";"62 919 20 93"
"H00000046";"Adecco Human Resources AG";"Bahnhofstrasse";"61";"CH";"9500";"Wil";"71 910 05 05";"71 910 05 06"
"H00000047";"Agis GmbH";"Im Thomasgarten";"43";"CH";"4104";"Oberwil";"61 401 30 48";"61 403 91 77"
"H00000048";"Agrola";"Neumarkt";"3";"CH";"9001";"St. Gallen";"71 226 77 94";""
"H00000049";"AHV-Ausgleichskasse";"Gladbachstrasse";"80";"CH";"8044";"Zürich";"1 267 81 00";"1 253 93 94"
"H00000050";"Albin Stillhart";"Wilerstrasse";"9";"CH";"9606";"Bütschwil";"71 983 15 13";"71 983 22 80"
"H00000051";"Allianz Suisse Versicherungs-Gesell";"Bleicherweg";"19";"CH";"8022";"Zürich";"";""
"H00000052";"Alpina General Agentur Nordwestschw";"Birsigstrasse";"50";"CH";"4011";"Basel";"61 287 91 11";"61 287 91 55"
"H00000053";"Alu Menziken Extrusion AG";"Hauptstrasse";"35";"CH";"5737";"Menziken";"62 765 21 21";"62 765 25 46"
"H00000054";"Aluminium Laufen AG";"Industriestrasse";"5";"CH";"4253";"Liesberg";"61 775 22 22";"61 775 22 00"
"H00000055";"Amt für Wirtschaft";"Davidstrasse";"35";"CH";"9001";"St.Gallen";"71 229 35 43";""
"H00000056";"Angst + Pfister AG";"Thurgauerstrasse";"66";"CH";"8052";"Zürich";"44 306 61 11";"44 302 18 71"
"H00000057";"Aquametro AG";"Industriestrasse";"44";"CH";"8304";"Wallisellen";"1 831 02 25";"1 831 00 82"
"H00000058";"Arnold Hohl AG";"";"";"CH";"9604";"Lütisburg";"71 931 37 60";"71 931 11 45"
"H00000059";"ARO Technologies";"Weststrasse";"69";"CH";"4900";"Langenthal";"62 916 10 30";"62 916 10 35"
"H00000060";"ARP Datacon AG";"Birkenstrasse";"43";"CH";"6343";"Rotkreuz";"41 799 09 09";"41 799 09 99"
"H00000061";"ASGA Pensionskasse";"Rosenbergstrasse";"16";"CH";"9001";"St. Gallen";"71 228 52 52";"71 228 52 55"
"H00000062";"ATA, Wärmezähler AG";"Zollikerstrasse";"27";"CH";"8032";"Zürich";"1 388 55 55";"1 838 51 95"
"H00000063";"Atlas Copco Tools";"Büetigenstrasse";"80";"CH";"2557";"Studen";"32 374 14 14";"32 374 16 30"
"H00000064";"Ausländeramt";"Oberer Graben";"32";"CH";"9001";"St. Gallen";"";""
"H00000065";"B. Heer AG";"Piccardstrasse";"19";"CH";"9015";"St. Gallen";"71 313 94 00";"71 313 94 20"
"H00000066";"B. Karch AG";"Pilatusring";"18";"CH";"5630";"Muri";"56 664 29 20";"56 664 45 20"
"H00000067";"Infor Global Solutions AG";"In der Luberzen";"42";"CH";"8902";"Urdorf";"1 735 37 37";"1 735 37 35"
"H00000068";"Balti AG";"Altgasse";"82";"CH";"6340";"Baar";"41 760 09 20";"41 760 09 30"
"H00000069";"Basler Versicherungs-Gesellschaft";"Aeschengraben";"21";"CH";"4002";"Basel";"61 285 85 85";"61 285 90 29"
"H00000070";"Bau- & Möbeltischlerei Michael Stie";"Ilmenauer Strasse";"38";"DE";"98693";"Bücheloh";"3677 205 115";"3677 205 116"
"H00000071";"BB-Gebäudereinigung AG";"Bruggwaldstrasse";"3";"CH";"9009";"St. Gallen";"71  245 50 55";"71  245 66 58"
"H00000072";"Beat Bucher AG";"Konstanzerstrasse";"58";"CH";"8274";"Tägerwilen";"71 666 71 71";"71 666 71 00"
"H00000073";"Berner Fachhochschule";"Solothurnstrasse";"102";"CH";"2500";"Biel";"32 344 02 02";"32 344 0 391"
"H00000074";"Betschart";"Büelwiesstrasse";"25";"CH";"9249";"Algetshausen";"71 952 75 50";"71 952 75 51"
"H00000075";"Bittmann AG";"Industriestrasse";"11";"CH";"6343";"Rotkreuz";"41 790 20 64";"41 790 43 28"
"H00000076";"Bleiker Baumschulen";"";"";"CH";"9601";"Lütisburg-Station";"71 931 12 48";"71 931 48 48"
"H00000077";"BLT GmbH";"Tösswiese";"";"CH";"8488";"Turbenthal";"52 385 37 91";"52 385 38 00"
"H00000078";"BM Handels AG";"Bösch";"73";"CH";"6331";"Hünenberg";"41 784 40 50";"41 784 40 60"
"H00000079";"Bollhalder Industrielogistik";"Dufourstrasse";"25";"CH";"8570";"Weinfelden";"71 622 60 90";"71 622 60 92"
"H00000080";"Boris Hunziker";"Sonnhalden";"1877";"CH";"9607";"Mosnang";"71 985 06 62";"71 985 06 62"
"H00000081";"Keller Zueberwangen AG";"Ebnifeld";"2";"CH";"9523";"Züberwangen";"71 945 90 90";"71 945 90 91"
"H00000082";"Bühler Stempel & Gravuren AG";"Engelgasse";"5";"CH";"9000";"St. Gallen";"71 222 79 90";"71 222 32 44"
"H00000083";"Bürowelt Schiff AG";"Marktgasse";"5";"CH";"9004";"St. Gallen";"71 311 23 24";"71 311 23 29"
"H00000084";"Bystronic Sales AG";"Industriestrasse";"21";"CH";"3362";"Niederönz";"62 956 33 33";"62 956 33 80"
"H00000085";"TM Metalltechnik AG";"Feldmatte";"17";"CH";"6020";"Emmen";"41 754 50 40";"41 754 50 41"
"H00000086";"Canon AG";"Industriestrasse";"12";"CH";"8305";"Dietlikon";"848 833 835";""
"H00000087";"Carl Sigerist AG";"Ebnatstrasse";"162";"CH";"8207";"Schaffhausen";"";""
"H00000088";"Jowat Swiss AG";"Schiltwaldstrasse";"33";"CH";"6033";"Buchrain";"41 445 11 11";"41 440 23 46"
"H00000089";"Chiquet Olivier";"Weizenstrasse";"9";"CH";"4125";"Riehen";"61 641 44 38";"61 641 44 58"
"H00000090";"Christ Aqua ecolife AG";"Neuhofweg";"53";"CH";"4147";"Aesch";"61 755 88 99";"61 755 88 90"
"H00000091";"Collano AG";"Eichenstrasse 12";"";"CH";"6203";"Sempach-Station";"41 469 91 11";"41 469 93 68"
"H00000092";"Cornu AG";"Austrasse";"5";"CH";"8505";"Pfyn";"52 766 06 66";"52 766 06 60"
"H00000093";"Creditreform Egeli Ostschweiz AG";"Teufener Strasse";"36";"CH";"9001";"St. Gallen";"71 221 11 21";"71 221 11 25"
"H00000094";"Danzas AG";"Fluachstrasse";"10";"CH";"8201";"Schaffhausen";"52 635 6 657";"52 635 6 699"
"H00000095";"Danzas AG";"Konstanzerstrasse";"60";"CH";"8274";"Taegerwilen";"71 66 66 954";"71 66 66 848"
"H00000096";"Debrunner AG";"Hechtackerstrasse";"31";"CH";"9014";"St. Gallen";"71 274 33 58";"71 274 32 52"
"H00000097";"Demag Cranes & Components AG";"Bahnhofstrasse";"3";"CH";"8305";"Dietlikon";"44 835 11 54";"44 835 11 02"
"H00000098";"Desca Trans AG";"Falkensteinerstrasse";"11";"CH";"4002";"Basel";"61 461 70 77";"61 461 78 74"
"H00000099";"Diga Möbel AG";"";"";"CH";"8854";"Galgenen";"55 450 55 55";"55 450 55 57"
"H00000100";"Distrelec AG";"Grabenstrasse";"6";"CH";"8606";"Nänikon";"1 944 99 11";"1 944 99 88"
"H00000101";"Doors Computer AG";"Unterrietstrasse";"6";"CH";"8152";"Glattburg";"1 808 90 30";"1 808 90 31"
"H00000102";"Regionalwerk Toggenburg AG";"Neudorfstrasse";"8a";"CH";"9533";"Kirchberg";"71 932 50 00";"71 932 50 01"
"H00000103";"DRW-Verlag Weinbrenner GmbH & Co .K";"Fasanenweg";"18";"DE";"70771";"Leinfelden-Echterdingen";"711 7591 0";"711 7591 266"
"H00000104";"Dürst AG";"Dietschwil - Remis";"73";"CH";"9533";"Kirchberg";"71 932 17 10";"71 932 17 12"
"H00000105";"E. Hedinger AG";"Ebnaterstrasse";"138";"CH";"9630";"Wattwil";"71 988 32 22";"71 988 36 81"
"H00000106";"E. Weber & Cie AG";"Althardstrasse";"257";"CH";"8105";"Regensdorf";"44 870 87 00";"44 870 87 20"
"H00000107";"Edgar Schneider";"Wettinger Strasse";"4";"DE";"89407";"Dillingen";"9071 727 757";"9071 727 693"
"H00000108";"Egro AG";"Mellingerstrasse";"10";"CH";"5443";"Niederrohrdorf";"56 485 95 95";"56 496 30 03"
"H00000109";"Eidgenössische Zollverwaltung EZV";"Monijoustrasse";"40";"CH";"3003";"Bern";"31 322 67 82";"31 322 42 91"
"H00000110";"Eigenmann AG";"Feldeck";"11";"CH";"9615";"Dietfurt";"71 982 88 88";"71 982 88 99"
"H00000111";"EJS Verpackungen AG";"Dählenweg";"2";"CH";"3054";"Schüpfen";"31 879 09 02";"31 879 19 06"
"H00000112";"Elbro AG";"Gewerbestrasse";"4";"CH";"8162";"Steinmaur";"1 854 73 00";"1 854 73 01"
"H00000113";"Elfa System SA";"via Industrie";"6";"CH";"6930";"Bedano";"91 945 15 04";"91 945 37 91"
"H00000114";"Elumatec Swiss AG";"Talstrasse";"31";"CH";"8808";"Pfäffikon";"55 410 13 40";"55 410 13 41"
"H00000115";"Emil Frey AG";"Molkenstrasse";"3";"CH";"9006";"St. Gallen";"71 228 64 64";"71 228 64 20"
"H00000116";"Emons Transporte AG";"Grenzstrasse";"24";"CH";"9430";"St. Margrethen";"71 747 47 90";"71 747 47 99"
"H00000117";"EPS Recycling Schweiz";"Bahnhofstrasse";"61";"CH";"6403";"Küssnacht";"41 850 30 30";"41 850 30 10"
"H00000118";"Ernst Hausammann & Co AG";"Rautistrasse";"19";"CH";"8010";"Zürich";"800 815 844";"1 491 22 11"
"H00000119";"SCM Group Etienne AG";"Bahnhofstrasse";"2";"CH";"9048";"Horw";"41 319 20 00";"41 319 20 99"
"H00000120";"EW Elektro Widmer AG";"Bütschwilerstrasse";"30";"CH";"9607";"Mosnang";"71 982 80 50";"71 982 80 55"
"H00000121";"kb-suisse";"Industriestrasse";"4";"CH";"9303";"Wittenbach";"71 292 33 77";"71 292 33 78"
"H00000122";"Faser-Plast AG";"Industrie Sonnmatt";"6";"CH";"9532";"Rickenbach bei Wil";"71 929 29 29";"71 929 29 10"
"H00000123";"Feldgarage Bütschwil AG";"Innderfeld";"51";"CH";"9606";"Bütschwil";"71 982 70 07";"71 982 70 08"
"H00000124";"Feller AG";"Bergstrasse";"70";"CH";"8810";"Horgen";"1 728 72 72";"1 728 72 99"
"H00000125";"FHS Hochschule für Technik, Wirtsch";"Tellstrasse";"2";"CH";"9001";"St. Gallen";"71 226 12 66";"71 226 12 68"
"H00000126";"Fila S.R.L.";"via Montello";"43";"IT";"20038";"Seregno MI";"362 330 395";"362 241 744"
"H00000127";"Fischbacher Josef";"Mosnangerstrasse";"21";"CH";"9606";"Bütschwil";"71 983 12 52";"71 983 40 55"
"H00000128";"Fotopick Express";"Sonneggstrasse";"24";"CH";"9642";"Ebnat-Kappel";"71 992 7 474";"71 992 74 92"
"H00000129";"Free-Trans AG";"Hubstrasse";"104";"CH";"9500";"Wil";"71 913 50 50";"71 913 50 58"
"H00000130";"Fust Bauunternehmung AG";"Ottilienstrasse";"";"CH";"9606";"Bütschwil";"71 983 17 33";"71 983 20 23"
"H00000131";"Galvanover SA";"";"";"CH";"2126";"Les Verrières";"32 866 16 22";"32 866 11 68"
"H00000132";"Ge Lisca AG";"Badenerstrasse";"567";"CH";"8021";"Zürich";"1 497 41 41";"1 497 41 42"
"H00000133";"Gebäudeversicherungsanstalt";"Davidstrasse";"37";"CH";"9001";"St. Gallen";"71 226 70 30";"71 226 70 29"
"H00000134";"Geberit Vertriebs AG";"Schachenstrasse";"77";"CH";"8645";"Jona";"55 221 61 11";"55  212 37 54"
"H00000135";"Gebrüder Weiss";"Werfstrasse";"1";"CH";"9423";"Altenrhein";"71 858 54 76";"71 858 55 50"
"H00000136";"Gemeinde Bütschwil";"";"";"CH";"9606";"Bütschwil";"71 982 82 24";""
"H00000137";"Gemeinde Bütschwil";"";"";"CH";"9606";"Bütschwil";"71 982 82 22";""
"H00000138";"Gesni AG";"St. Gallerstrasse";"80";"CH";"9500";"Wil";"71 912 12 82";"71 912 12 85"
"H00000139";"Gondbrand AG";"Haus Gueterbahnhof";"";"CH";"8201";"Schaffhausen";"52 624 83 21";"52 624 84 01"
"H00000140";"Gottardo Ruffoni SA";"Corso San Gottardo";"54";"CH";"6830";"Chiasso";"91 695 04 44";"91 695 04 45"
"H00000141";"Gull Roman";"In der Au";"8";"CH";"8547";"Gachang";"52 770 23 70";"52 770 23 71"
"H00000142";"Gressel AG";"Schützenstrasse";"25";"CH";"8355";"Aadorf";"52 368 12 55";"52 368 12 20"
"H00000143";"Gröflin Werkzeugbau AG";"Industriestrasse";"35";"CH";"4402";"Frenkendorf";"61 406 97 00";"61 406 97 01"
"H00000144";"Gummischwarz AG";"Industriestrasse";"30";"CH";"8108";"Dällikon";"1 847 36 37";"1 847 36 39"
"H00000145";"Gus Schweiz AG";"Buchwaldstrasse";"5";"CH";"9008";"St. Gallen";"71 242 71 00";"71 242 71 01"
"H00000146";"GWF Gas- und Wassermessfabrik AG";"Obergrundstrasse";"27";"CH";"6002";"Luzern";"41 319 50 50";"41 310 60 87"
"H00000147";"Scherrer Holzbearbeitung GmbH";"Grämigen";"";"CH";"9601";"Lütisburg-Station";"71 983 54 66";"71 983 54 75"
"H00000148";"H.Schneuwly AG/SA";"Juravorstadt";"1";"CH";"2502";"Biel";"32 322 49 39";"32 322 31 45"
"H00000149";"Handelskammer Deutschland-Schweiz";"Tödistrasse";"2";"CH";"8002";"Zürich";"1 283 61 61";"1 283 61 00"
"H00000150";"Hans Elmer";"Speerstrasse";"12";"CH";"9604";"Lütisburg";"";""
"H00000151";"Hanspeter Wagner AG";"Lindenstrasse";"77";"CH";"9000";"St. Gallen";"71 244 26 24";"71 250 18 75"
"H00000152";"Heimo Treuhand AG";"Bruggwiesen";"4";"CH";"9302";"Kronbühl";"71 298 22 88";"71 298 22 92"
"H00000153";"Helsana Versicherungen AG";"";"";"CH";"8081";"Zürich";"31 925 81 43";""
"H00000154";"Helsana Versicherungen AG";"Innere Margarethenstrasse";"5";"CH";"4051";"Basel";"61 286 46 46";"61 286 46 79"
"H00000155";"Helvetia Patria Versicherungen";"Hohlstrasse";"560";"CH";"8048";"Zürich";"43 843 83 33";"43 843 83 45"
"H00000156";"Hettich Marketing- und Vertriebs Gm";"Vahrenkampstrasse";"12";"DE";"32278";"Kirchlengern";"52 23 77 1574";"5223 77 1320"
"H00000157";"HIAG Imballegno AG";"Rüdlingerstrasse";"790";"CH";"8197";"Rafz";"1 869 10 23";"1  869 22 32"
"H00000158";"Homag (Schweiz) AG";"Weieracherstrasse";"9";"CH";"8184";"Bachenbülach";"1 872 51 51";"1 872 51 21"
"H00000159";"Hotel Restaurant Toggenburgerhof";"";"";"CH";"9533";"Kirchberg";"71 932 00 32";"71 932 00 30"
"H00000160";"Hydro Aluminium Nenzing GmbH";"Austrasse";"16";"AT";"6710";"Nenzing";"55 25 601 0";"55 25 601 399"
"H00000161";"Id pool GmbH";"Krefelder Strasse";"32";"DE";"70376";"Stuttgart";"711 95 46 45 50";"711 95 46 45 44"
"H00000162";"Idea";"Via Marigonda";"13";"IT";"31040";"Navolè di Gorgo al Monticano";"0422 742 184";"0422 742 187"
"H00000163";"IHK";"Gallusstrasse";"16";"CH";"9001";"St. Gallen";"71 224 10 10";"71 224 10 60"
"H00000164";"Imos AG";"Planckstrasse";"24";"DE";"32052";"Herford";"52 21 976 0";"52 21 976 123"
"H00000165";"Intermess Dörgeloh AG";"Obere Zäune";"16";"CH";"8001";"Zürich";"1 252 99 88";"1 261 11 51"
"H00000166";"Interseroh Dienstleistungs GmbH";"Stollwerckstrasse";"9a";"DE";"51149";"Köln";"2203 91 47 0";"2203 9147 1394"
"H00000167";"J. Schneeberger Maschinen AG";"";"";"CH";"4914";"Roggwil";"62 918 44 00";"62 918 44 11"
"H00000168";"Jost Schreinerei";"Wölflkofen";"19";"DE";"84166";"Adlkofen";"87 07 87 37";"87 07 85 41"
"H00000169";"Fischer Georg JRG AG";"Hauptstrasse";"130";"CH";"4450";"Sissach";"61 975 22 22";"61 975 23 00"
"H00000170";"Kaiser + Kraft AG";"Gewerbestrasse";"5";"CH";"6330";"Cham";"41 747 10 10";"41 747 10 20"
"H00000171";"Kanton St. Gallen";"Davidstrasse";"41";"CH";"9001";"St. Gallen";"71 229 41 21";"71 229 41 02"
"H00000172";"Kanton St. Gallen";"Davidstrasse";"41";"CH";"9001";"St. Gallen";"71 229 48 23";"71 229 41 03"
"H00000173";"Kantonspolizei Luzern";"Rothenburgstrasse";"15";"CH";"6020";"Emmenbrücke";"412 889 200";"412 889 235"
"H00000174";"Kantonspolizei St. Gallen";"Klosterhof";"12";"CH";"9001";"St. Gallen";"71 229 49 49";"71 223 26 60"
"H00000175";"Kantonspolizei Thurgau";"Zürcherstrasse";"325";"CH";"8501";"Frauenfeld";"52 728 28 28";""
"H00000176";"Karl Kochberger Ges.m.b.H.";"Griesperwarth";"4";"AT";"3262";"Wang";"74 88 713 50";"74 88 715 93"
"H00000177";"Tremco illbruck Swiss AG";"Sihlbruggstrasse";"144";"CH";"6341";"Baar";"41 760 12 12";"41 760 13 20"
"H00000178";"Kaufm. Verband St. Gallen";"Kreuzbleichenweg";"4";"CH";"9000";"St. Gallen";"71 274 36 50";"71 274 36 56"
"H00000179";"Kindt Consulting";"Halweg";"10";"CH";"8115";"Hüttikon";"79 703 95 54";"1 845 08 85"
"H00000181";"Konrad Kämpf";"Chrummwiesstrasse";"18";"CH";"8154";"Oberglatt";"1 850 45 19";"1 850 45 19"
"H00000182";"Küng Nutzfahrzeuge AG";"Industriegebiet Salen";"";"CH";"9536";"Schwarzenbach";"71 929 55 44";"71 929 55 43"
"H00000183";"Kuratle & Jaecker AG";"Bahnhofstrasse";"311";"CH";"5325";"Leibstadt";"56 267 60 60";"56 267 60 99"
"H00000184";"SFS unimarket AG";"Nefenstrasse";"30";"CH";"9435";"Heerbrugg";"71 727 58 27";"71 727 59 64"
"H00000185";"Schelling AG";"Industriestrasse";"11";"CH";"5102";"Rupperswil";"58 360 44 00";"58 360 44 01"
"H00000186";"Landi AG";"Toggenburgerstrasse";"5";"CH";"9608";"Ganterschwil";"71 983 17 40";"71 983 53 08"
"H00000187";"Landi Bütschwil AG";"";"";"CH";"9606";"Bütschwil";"71 983 32 40";""
"H00000188";"Lebert AG";"Tägerwilerstrasse";"1";"CH";"8280";"Kreuzlingen";"71 677 22 00";"71 677 22 14"
