"ZollPosition_Nr";"ZollPosition_Bezeichnung";"VK-Auftrag";"VK";"VK-Position";"Lieferadresse";"KundeName";"Warenempfänger";"Land";"Handelspartner_Land";"Handelspartner_Adress_Nr";"Handelspartner_Name";"Handelspartener_Name_Zusatz";"Handelspartner_Strasse";"Handelspartner_Strasse_Nr";"Handelspartner_PLZ";"Handelspartner_Ort";"EORI_Nr";"Geplanter_Liefertermin";"Geplantes_WE_ Datum";"Gewicht_Einzel";"Gewicht_Total";"Betrag";"MengeTotal";"Währung";"MwSt"
"9403.6000";"Holzmöbel";"300011808";"300011808-10";10;"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"H00000360";"DE";"DE ";"H00000360";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Aschaffenburg   ";"Benzstrasse";"1";"63741     ";"Aschaffenburg                 ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;65.00;65.00;681.27;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011808";"300011808-11";11;"Richter + Frenzel GmbH + Co.KG, Benzstrasse 1, DE-63741 Aschaffenburg";"Richter + Frenzel Aschaffenburg";"H00000360";"DE";"DE ";"H00000360";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Aschaffenburg   ";"Benzstrasse";"1";"63741     ";"Aschaffenburg                 ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;64.00;64.00;365.35;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011874";"300011874-10";10;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;35.50;35.50;415.26;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011874";"300011874-20";20;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";02.09.2011 00:00:00;08.09.2011 00:00:00;32.00;32.00;475.52;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011874";"300011874-30";30;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";02.09.2011 00:00:00;08.09.2011 00:00:00;37.00;37.00;265.07;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011874";"300011874-31";31;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";02.09.2011 00:00:00;08.09.2011 00:00:00;58.00;58.00;816.86;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011875";"300011875-10";10;"Richter + Frenzel GmbH + CO. KG, Carl-Jordan-Str. 10, DE-83059 Kolbermoor";"Richter + Frenzel Kolbermoor";"H00000343";"DE";"DE ";"H00000343";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Kolbermoor      ";"Carl-Jordan-Str.";"10";"83059     ";"Kolbermoor                    ";"DE-4949692               ";07.09.2011 00:00:00;12.09.2011 00:00:00;11.00;11.00;216.67;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011876";"300011876-10";10;"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"H00000236";"DE";"DE ";"H00000236";"Richter + Frenzel GmbH + Co. KG    ";"Niederlassung Würzburg        ";"Leitenäckerweg";"6";"97084     ";"Würzburg                      ";"DE-4949692               ";06.09.2011 00:00:00;12.09.2011 00:00:00;26.00;26.00;334.28;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011876";"300011876-20";20;"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"H00000236";"DE";"DE ";"H00000236";"Richter + Frenzel GmbH + Co. KG    ";"Niederlassung Würzburg        ";"Leitenäckerweg";"6";"97084     ";"Würzburg                      ";"DE-4949692               ";06.09.2011 00:00:00;12.09.2011 00:00:00;26.00;26.00;350.76;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011876";"300011876-21";21;"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"H00000236";"DE";"DE ";"H00000236";"Richter + Frenzel GmbH + Co. KG    ";"Niederlassung Würzburg        ";"Leitenäckerweg";"6";"97084     ";"Würzburg                      ";"DE-4949692               ";06.09.2011 00:00:00;12.09.2011 00:00:00;30.00;30.00;306.97;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011876";"300011876-22";22;"Richter + Frenzel GmbH + Co. KG, Leitenäckerweg 6, DE-97084 Würzburg";"Richter + Frenzel Würzburg";"H00000236";"DE";"DE ";"H00000236";"Richter + Frenzel GmbH + Co. KG    ";"Niederlassung Würzburg        ";"Leitenäckerweg";"6";"97084     ";"Würzburg                      ";"DE-4949692               ";06.09.2011 00:00:00;12.09.2011 00:00:00;29.00;29.00;448.68;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011878";"300011878-10";10;"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"H00000356";"DE";"DE ";"H00000356";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kassel          ";"Gobietstr.";"5";"34123     ";"Kassel                        ";"DE-4949692               ";01.09.2011 00:00:00;08.09.2011 00:00:00;7.00;7.00;148.31;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011878";"300011878-11";11;"Richter + Frenzel GmbH + Co.KG, Gobietstr. 5, DE-34123 Kassel";"Richter + Frenzel Kassel";"H00000356";"DE";"DE ";"H00000356";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kassel          ";"Gobietstr.";"5";"34123     ";"Kassel                        ";"DE-4949692               ";01.09.2011 00:00:00;08.09.2011 00:00:00;18.00;18.00;362.05;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011879";"300011879-10";10;"Richter + Frenzel GmbH + Co.KG, Emil-Richter-Str. 1, DE-94036 Passau";"Richter + Frenzel Passau";"H00000351";"DE";"DE ";"H00000351";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Passau          ";"Emil-Richter-Str.";"1";"94036     ";"Passau                        ";"DE-4949692               ";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;291.90;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011881";"300011881-10";10;"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"H00000323";"DE";"DE ";"H00000323";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Bamberg         ";"Kronacherstrasse";"100";"96052     ";"Bamberg                       ";"DE-4949692               ";02.09.2011 00:00:00;08.09.2011 00:00:00;0.00;0.00;607.82;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011881";"300011881-20";20;"Richter + Frenzel GmbH + CO. KG, Kronacherstrasse 100, DE-96052 Bamberg";"Richter + Frenzel Bamberg";"H00000323";"DE";"DE ";"H00000323";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Bamberg         ";"Kronacherstrasse";"100";"96052     ";"Bamberg                       ";"DE-4949692               ";02.09.2011 00:00:00;08.09.2011 00:00:00;0.00;0.00;240.11;2.00;"Euro";19
"9403.6000";"Holzmöbel";"300011882";"300011882-10";10;"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"H00000363";"DE";"DE ";"H00000363";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Büttelborn      ";"Hessenring";"25";"64572     ";"Büttelborn                    ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;65.00;65.00;656.22;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011882";"300011882-20";20;"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"H00000363";"DE";"DE ";"H00000363";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Büttelborn      ";"Hessenring";"25";"64572     ";"Büttelborn                    ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;36.00;36.00;628.53;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011882";"300011882-30";30;"Richter + Frenzel GmbH + Co.KG, Hessenring 25, DE-64572 Büttelborn";"Richter + Frenzel Büttelborn";"H00000363";"DE";"DE ";"H00000363";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Büttelborn      ";"Hessenring";"25";"64572     ";"Büttelborn                    ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;0.00;0.00;225.05;2.00;"Euro";19
"9403.6000";"Holzmöbel";"300011883";"300011883-10";10;"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"H00000357";"DE";"DE ";"H00000357";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kempten         ";"Bleicherstr.";"36";"87437     ";"Kempten                       ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;26.00;26.00;291.43;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011883";"300011883-20";20;"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"H00000357";"DE";"DE ";"H00000357";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kempten         ";"Bleicherstr.";"36";"87437     ";"Kempten                       ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;35.50;35.50;377.59;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011883";"300011883-30";30;"Richter + Frenzel GmbH + Co.KG, Bleicherstr. 36, DE-87437 Kempten";"Richter + Frenzel Kempten";"H00000357";"DE";"DE ";"H00000357";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Kempten         ";"Bleicherstr.";"36";"87437     ";"Kempten                       ";"DE-4949692               ";02.09.2011 00:00:00;07.09.2011 00:00:00;29.00;29.00;508.95;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011906";"300011906-10";10;"Richter + Frenzel  Gmbh + Co.KG, Carl Bosch Str. 1-5, DE-45699 Herten";"Richter + Frenzel Herten";"H00000989";"DE";"DE ";"H00000989";"Richter + Frenzel  Gmbh + Co.KG    ";"Niederlassung Herten          ";"Carl Bosch Str.";"1-5";"45699     ";"Herten                        ";"DE-4949692               ";06.09.2011 00:00:00;06.09.2011 00:00:00;21.00;21.00;305.56;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011906";"300011906-11";11;"Richter + Frenzel  Gmbh + Co.KG, Carl Bosch Str. 1-5, DE-45699 Herten";"Richter + Frenzel Herten";"H00000989";"DE";"DE ";"H00000989";"Richter + Frenzel  Gmbh + Co.KG    ";"Niederlassung Herten          ";"Carl Bosch Str.";"1-5";"45699     ";"Herten                        ";"DE-4949692               ";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;291.90;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011906";"300011906-12";12;"Richter + Frenzel  Gmbh + Co.KG, Carl Bosch Str. 1-5, DE-45699 Herten";"Richter + Frenzel Herten";"H00000989";"DE";"DE ";"H00000989";"Richter + Frenzel  Gmbh + Co.KG    ";"Niederlassung Herten          ";"Carl Bosch Str.";"1-5";"45699     ";"Herten                        ";"DE-4949692               ";06.09.2011 00:00:00;06.09.2011 00:00:00;26.00;26.00;291.90;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011906";"300011906-13";13;"Richter + Frenzel  Gmbh + Co.KG, Carl Bosch Str. 1-5, DE-45699 Herten";"Richter + Frenzel Herten";"H00000989";"DE";"DE ";"H00000989";"Richter + Frenzel  Gmbh + Co.KG    ";"Niederlassung Herten          ";"Carl Bosch Str.";"1-5";"45699     ";"Herten                        ";"DE-4949692               ";06.09.2011 00:00:00;06.09.2011 00:00:00;14.00;14.00;305.56;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011938";"300011938-10";10;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";22.09.2011 00:00:00;22.09.2011 00:00:00;0.00;0.00;252.11;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011938";"300011938-11";11;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";22.09.2011 00:00:00;22.09.2011 00:00:00;0.00;0.00;723.94;2.00;"Euro";19
"9403.6000";"Holzmöbel";"300011938";"300011938-12";12;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";22.09.2011 00:00:00;22.09.2011 00:00:00;0.00;0.00;992.25;2.00;"Euro";19
"9403.6000";"Holzmöbel";"300011938";"300011938-20";20;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";22.09.2011 00:00:00;22.09.2011 00:00:00;32.00;32.00;295.14;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011940";"300011940-10";10;"Richter + Frenzel GmbH + CO. KG, Donaustrasse 125, DE-90451 Nürnberg";"Richter + Frenzel Nürnberg";"H00000322";"DE";"DE ";"H00000322";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Nürnberg        ";"Donaustrasse";"125";"90451     ";"Nürnberg                      ";"DE-4949692               ";13.09.2011 00:00:00;19.09.2011 00:00:00;28.00;28.00;254.59;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011947";"300011947-10";10;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;60.00;60.00;1139.84;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011947";"300011947-20";20;"Richter + Frenzel GmbH + CO. KG, Industriestr. 18 a, DE-84030 Landshut-Ergolding";"Richter + Frenzel Landshut-Ergoldin";"H00000342";"DE";"DE ";"H00000342";"Richter + Frenzel GmbH + CO. KG    ";"Niederlassung Landshut-Ergoldi";"Industriestr.";"18 a";"84030     ";"Landshut-Ergolding            ";"DE-4949692               ";02.09.2011 00:00:00;02.09.2011 00:00:00;42.00;42.00;676.56;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011966";"300011966-10";10;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;30.90;30.90;729.51;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011966";"300011966-11";11;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;31.50;31.50;339.19;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011966";"300011966-20";20;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;12.00;12.00;289.57;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011966";"300011966-21";21;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;32.00;32.00;630.28;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011966";"300011966-22";22;"Richter + Frenzel GmbH + Co.KG, Ernst-Frenzel-Str. 4, DE-93083 Obertraubling";"Richter + Frenzel Regensburg-Obertr";"H00000350";"DE";"DE ";"H00000350";"Richter + Frenzel GmbH + Co.KG     ";"Niderlassung Regensburg-Obertr";"Ernst-Frenzel-Str.";"4";"93083     ";"Obertraubling                 ";"DE-4949692               ";23.09.2011 00:00:00;23.09.2011 00:00:00;14.00;14.00;375.64;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011968";"300011968-11";11;"Richter + Frenzel GmbH + Co.KG, Hechtsheimer Strasse 2, DE-55131 Mainz";"Richter + Frenzel Mainz";"H00000370";"DE";"DE ";"H00000370";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Mainz           ";"Hechtsheimer Strasse";"2";"55131     ";"Mainz                         ";"DE-4949692               ";08.09.2011 00:00:00;08.09.2011 00:00:00;32.00;32.00;597.93;1.00;"Euro";19
"9403.6000";"Holzmöbel";"300011968";"300011968-20";20;"Richter + Frenzel GmbH + Co.KG, Hechtsheimer Strasse 2, DE-55131 Mainz";"Richter + Frenzel Mainz";"H00000370";"DE";"DE ";"H00000370";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Mainz           ";"Hechtsheimer Strasse";"2";"55131     ";"Mainz                         ";"DE-4949692               ";08.09.2011 00:00:00;08.09.2011 00:00:00;12.00;12.00;225.52;1.00;"Euro";19
"9403.9090";"Möbelteile aus Holz";"300011968";"300011968-30";30;"Richter + Frenzel GmbH + Co.KG, Hechtsheimer Strasse 2, DE-55131 Mainz";"Richter + Frenzel Mainz";"H00000370";"DE";"DE ";"H00000370";"Richter + Frenzel GmbH + Co.KG     ";"Niederlassung Mainz           ";"Hechtsheimer Strasse";"2";"55131     ";"Mainz                         ";"DE-4949692               ";08.09.2011 00:00:00;08.09.2011 00:00:00;12.00;12.00;218.93;1.00;"Euro";19
